case,frame,prompt,rank,gdino_score,phrase,x1,y1,x2,y2
Cosmos2.5_0016,0,white cup,1,0.8165262937545776,white cup,698.9817504882812,289.2107238769531,748.9667358398438,363.1643981933594
Cosmos2.5_0016,3,white cup,1,0.8094646334648132,white cup,699.1752319335938,289.32110595703125,748.8518676757812,363.92138671875
Cosmos2.5_0016,6,white cup,1,0.7998452186584473,white cup,699.654541015625,288.9751281738281,749.438232421875,364.1882019042969
Cosmos2.5_0016,9,white cup,1,0.7827167510986328,white cup,699.4437255859375,288.73602294921875,749.474853515625,363.6021728515625
Cosmos2.5_0016,12,white cup,1,0.7807667851448059,white cup,699.1151123046875,289.0359802246094,749.2188720703125,363.9898986816406
Cosmos2.5_0016,15,white cup,1,0.7747596502304077,white cup,699.8289184570312,288.9292907714844,749.7653198242188,363.9461975097656
Cosmos2.5_0016,18,white cup,1,0.7666375637054443,white cup,699.38818359375,288.7351379394531,749.73876953125,363.9990539550781
Cosmos2.5_0016,21,white cup,1,0.7653262615203857,white cup,699.1694946289062,288.6177062988281,749.6909790039062,363.3805847167969
Cosmos2.5_0016,24,white cup,1,0.7562420964241028,white cup,699.1854858398438,288.46441650390625,749.4878540039062,363.41009521484375
Cosmos2.5_0016,27,white cup,1,0.7492033243179321,white cup,698.9524536132812,288.5328369140625,749.2680053710938,363.57470703125
Cosmos2.5_0016,27,white cup,2,0.12144633382558823,white cup,556.4364013671875,314.8794860839844,611.263916015625,358.6257629394531
Cosmos2.5_0016,30,white cup,1,0.6590383648872375,white cup,699.0108032226562,288.6119384765625,749.2316284179688,362.9464111328125
Cosmos2.5_0016,30,white cup,2,0.22613053023815155,white cup,558.325439453125,315.0782165527344,614.8909912109375,368.0450744628906
Cosmos2.5_0016,33,white cup,1,0.6490628719329834,white cup,699.0885009765625,289.1517028808594,748.955810546875,363.4319763183594
Cosmos2.5_0016,33,white cup,2,0.2133684754371643,white cup,559.5349731445312,315.20501708984375,617.8309936523438,378.69439697265625
Cosmos2.5_0016,36,white cup,1,0.6177801489830017,white cup,699.0098876953125,289.2646484375,748.9818115234375,363.43072509765625
Cosmos2.5_0016,36,white cup,2,0.24227261543273926,white cup,560.8767700195312,313.8471984863281,618.5421752929688,380.8380432128906
Cosmos2.5_0016,39,white cup,1,0.6449744701385498,white cup,699.1287841796875,289.1710510253906,748.9576416015625,363.1775207519531
Cosmos2.5_0016,39,white cup,2,0.2263554036617279,white cup,560.964111328125,314.4651184082031,618.7659912109375,381.0817565917969
Cosmos2.5_0016,42,white cup,1,0.5890177488327026,white cup,698.97802734375,289.1944274902344,748.956787109375,362.9834289550781
Cosmos2.5_0016,42,white cup,2,0.2805337905883789,white cup,560.3314819335938,313.3728332519531,618.3350219726562,380.9339904785156
Cosmos2.5_0016,45,white cup,1,0.5944617390632629,white cup,699.21533203125,289.3582763671875,748.76513671875,362.9189453125
Cosmos2.5_0016,45,white cup,2,0.2832186818122864,white cup,558.7465209960938,312.75360107421875,616.6970825195312,380.6253662109375
Cosmos2.5_0016,48,white cup,1,0.6077234148979187,white cup,699.2100219726562,289.3237609863281,748.8331909179688,362.8925476074219
Cosmos2.5_0016,48,white cup,2,0.28246334195137024,white cup,556.746337890625,312.9354248046875,614.1021728515625,380.80267333984375
Cosmos2.5_0016,51,white cup,1,0.6022229790687561,white cup,699.3862915039062,289.3062438964844,748.7116088867188,363.0201721191406
Cosmos2.5_0016,51,white cup,2,0.27876442670822144,white cup,555.8959350585938,313.33404541015625,611.8798217773438,380.165771484375
Cosmos2.5_0016,54,white cup,1,0.6161583065986633,white cup,699.3213500976562,289.3533630371094,748.8245239257812,363.0296936035156
Cosmos2.5_0016,54,white cup,2,0.2810414433479309,white cup,555.07177734375,312.72705078125,611.1328125,379.91632080078125
Cosmos2.5_0016,57,white cup,1,0.6264023780822754,white cup,699.0767822265625,289.3670654296875,748.8297119140625,363.04998779296875
Cosmos2.5_0016,57,white cup,2,0.2643445134162903,white cup,554.5465698242188,312.4355773925781,611.0772094726562,379.8504943847656
Cosmos2.5_0016,60,white cup,1,0.6273821592330933,white cup,698.9384765625,289.4317626953125,748.734130859375,363.03131103515625
Cosmos2.5_0016,60,white cup,2,0.26841962337493896,white cup,554.26513671875,312.1142578125,611.346923828125,379.87921142578125
Cosmos2.5_0016,60,white cup,3,0.11217033118009567,white,541.1898803710938,296.9991149902344,627.0774536132812,389.7613830566406
Cosmos2.5_0016,63,white cup,1,0.6339930295944214,white cup,698.9772338867188,289.35186767578125,748.6514282226562,363.04742431640625
Cosmos2.5_0016,63,white cup,2,0.280263215303421,white cup,554.3486938476562,312.02081298828125,611.3617553710938,379.69500732421875
Cosmos2.5_0016,63,white cup,3,0.10561373829841614,white,542.5260620117188,292.7061767578125,624.4314575195312,387.1329345703125
Cosmos2.5_0016,66,white cup,1,0.6403065919876099,white cup,698.8509521484375,289.32037353515625,748.5631103515625,363.1484375
Cosmos2.5_0016,66,white cup,2,0.26341864466667175,white cup,553.8751220703125,311.604736328125,611.2322998046875,379.5223388671875
Cosmos2.5_0016,69,white cup,1,0.6531891822814941,white cup,698.8663330078125,289.34918212890625,748.72705078125,363.1578369140625
Cosmos2.5_0016,69,white cup,2,0.23742683231830597,white cup,553.68798828125,311.6661376953125,611.3431396484375,379.54620361328125
Cosmos2.5_0016,72,white cup,1,0.658069372177124,white cup,698.8687744140625,289.2134094238281,748.6646728515625,363.1981506347656
